Id,Widespread mask usage (over 75%),Confirmed case isolation,Contact isolation,Gatherings limited to,Some businesses suspended,Many businesses suspended,Schools and universities closed,Social distancing advised,Staying home advised,Test number (order of magnitude),General curfew,Country,Date
0,0,0,0,0,0,0,0,0,0,0,0,Austria,2019-12-18
1,0,0,0,0,0,0,0,0,0,0,0,Germany,2019-12-18
2,0,0,0,0,0,0,0,0,0,0,0,United Kingdom,2019-12-18
3,0,0,0,0,0,0,0,0,0,0,0,Vietnam,2019-12-18
4,0,0,0,0,0,0,0,0,0,0,0,South Korea,2019-12-18
5,0,0,0,0,0,0,0,0,0,0,0,Singapore,2019-12-18
6,0,0,0,0,0,0,0,0,0,0,0,Israel,2019-12-18
7,0,0,0,0,0,0,0,0,0,0,0,Japan,2019-12-18
8,0,0,0,0,0,0,0,0,0,0,0,Sweden,2019-12-18
9,0,0,0,0,0,0,0,0,0,0,0,San Marino,2019-12-18
10,0,0,0,0,0,0,0,0,0,0,0,Slovenia,2019-12-18
11,0,0,0,0,0,0,0,0,0,0,0,US:New Jersey,2019-12-18
12,0,0,0,0,0,0,0,0,0,0,0,Canada,2019-12-18
13,0,0,0,0,0,0,0,0,0,0,0,Taiwan,2019-12-18
14,0,0,0,0,0,0,0,0,0,0,0,Macau,2019-12-18
15,0,0,0,0,0,0,0,0,0,0,0,Hong Kong,2019-12-18
16,0,1,0,0,0,0,0,0,0,0,0,China,2019-12-18
17,0,0,0,0,0,0,0,0,0,0,0,United States,2019-12-18
18,0,0,0,0,0,0,0,0,0,0,0,European Union,2019-12-18
19,0,0,0,0,0,0,0,0,0,0,0,Thailand,2019-12-18
20,0,0,0,0,0,0,0,0,0,0,0,Italy,2019-12-18
21,0,0,0,0,0,0,0,0,0,0,0,Czechia,2019-12-18
22,0,0,0,0,0,0,0,0,0,0,0,Australia,2019-12-18
23,0,0,0,0,0,0,0,0,0,0,0,Trinidad and Tobago,2019-12-18
24,0,0,0,0,0,0,0,0,0,0,0,Qatar,2019-12-18
25,0,0,0,0,0,0,0,0,0,0,0,North Korea,2019-12-18
26,0,0,0,0,0,0,0,0,0,0,0,New Zealand,2019-12-18
27,0,0,0,0,0,0,0,0,0,0,0,Colombia,2019-12-18
28,0,0,0,0,0,0,0,0,0,0,0,Romania,2019-12-18
29,0,0,0,0,0,0,0,0,0,0,0,France,2019-12-18
30,0,0,0,0,0,0,0,0,0,0,0,Portugal,2019-12-18
31,0,0,0,0,0,0,0,0,0,0,0,Spain,2019-12-18
32,0,0,0,0,0,0,0,0,0,0,0,Belgium,2019-12-18
33,0,0,0,0,0,0,0,0,0,0,0,Luxembourg,2019-12-18
34,0,0,0,0,0,0,0,0,0,0,0,Albania,2019-12-18
35,0,0,0,0,0,0,0,0,0,0,0,Andorra,2019-12-18
36,0,0,0,0,0,0,0,0,0,0,0,Azerbaijan,2019-12-18
37,0,0,0,0,0,0,0,0,0,0,0,Belarus,2019-12-18
38,0,0,0,0,0,0,0,0,0,0,0,Bosnia and Herzegovina,2019-12-18
39,0,0,0,0,0,0,0,0,0,0,0,Bulgaria,2019-12-18
40,0,0,0,0,0,0,0,0,0,0,0,Denmark,2019-12-18
41,0,0,0,0,0,0,0,0,0,0,0,Estonia,2019-12-18
42,0,0,0,0,0,0,0,0,0,0,0,Cyprus,2019-12-18
43,0,0,0,0,0,0,0,0,0,0,0,Croatia,2019-12-18
44,0,0,0,0,0,0,0,0,0,0,0,Finland,2019-12-18
45,0,0,0,0,0,0,0,0,0,0,0,Georgia,2019-12-18
46,0,0,0,0,0,0,0,0,0,0,0,Hungary,2019-12-18
